Team A,Team B,Map,Team A Wins,Played,Team A Winrate
100 Thieves,Cloud9,Abyss,1,1,100.0
100 Thieves,NRG,Abyss,0,1,0.0
2Game Esports,KRÜ Esports,Abyss,0,1,0.0
All Gamers,Nova Esports,Abyss,0,1,0.0
All Gamers,Xi Lai Gaming,Abyss,1,2,50.0
All Gamers,G2 Esports,Abyss,0,1,0.0
All Gamers,Bilibili Gaming,Abyss,1,1,100.0
All Gamers,Dragon Ranger Gaming,Abyss,1,1,100.0
Apeks,Team Liquid,Abyss,0,1,0.0
BBL Esports,FNATIC,Abyss,1,1,100.0
BBL Esports,NRG,Abyss,1,1,100.0
BBL Esports,FURIA,Abyss,1,1,100.0
BBL Esports,PCIFIC Esports,Abyss,0,1,0.0
BBL Esports,Team Vitality,Abyss,1,1,100.0
BBL Esports,Gentle Mates,Abyss,1,1,100.0
BBL Esports,Fire Flux Esports,Abyss,0,1,0.0
Bilibili Gaming,Rex Regum Qeon,Abyss,0,1,0.0
Bilibili Gaming,Xi Lai Gaming,Abyss,2,2,100.0
Bilibili Gaming,Trace Esports,Abyss,1,1,100.0
Bilibili Gaming,EDward Gaming,Abyss,1,2,50.0
Bilibili Gaming,Dragon Ranger Gaming,Abyss,1,1,100.0
Cloud9,G2 Esports,Abyss,0,1,0.0
Cloud9,MIBR,Abyss,0,1,0.0
Cloud9,LOUD,Abyss,1,1,100.0
DRX,KRÜ Esports,Abyss,1,1,100.0
DRX,FNATIC,Abyss,1,1,100.0
DRX,Trace Esports,Abyss,1,1,100.0
DRX,Team Heretics,Abyss,1,1,100.0
DRX,Team Liquid,Abyss,2,2,100.0
DRX,G2 Esports,Abyss,1,1,100.0
DRX,Team Vitality,Abyss,1,1,100.0
DRX,Gen.G,Abyss,1,1,100.0
DRX,T1,Abyss,1,1,100.0
DetonatioN FocusMe,Rex Regum Qeon,Abyss,1,1,100.0
DetonatioN FocusMe,Global Esports,Abyss,1,1,100.0
DetonatioN FocusMe,Paper Rex,Abyss,1,1,100.0
DetonatioN FocusMe,Gen.G,Abyss,1,2,50.0
Dragon Ranger Gaming,G2 Esports,Abyss,0,1,0.0
Dragon Ranger Gaming,JDG Esports,Abyss,1,2,50.0
Dragon Ranger Gaming,Trace Esports,Abyss,0,1,0.0
Dragon Ranger Gaming,FunPlus Phoenix,Abyss,1,1,100.0
EDward Gaming,LEVIATÁN,Abyss,1,1,100.0
EDward Gaming,Team Heretics,Abyss,1,1,100.0
EDward Gaming,NRG,Abyss,0,1,0.0
EDward Gaming,Team Liquid,Abyss,0,1,0.0
EDward Gaming,Trace Esports,Abyss,1,1,100.0
EDward Gaming,TYLOO,Abyss,1,1,100.0
EDward Gaming,JDG Esports,Abyss,1,1,100.0
ENVY,Evil Geniuses,Abyss,0,1,0.0
ENVY,MIBR,Abyss,0,1,0.0
ENVY,KRÜ Esports,Abyss,0,1,0.0
Enterprise Esports,Team Vitality,Abyss,1,1,100.0
Enterprise Esports,Karmine Corp,Abyss,1,1,100.0
Enterprise Esports,Team Liquid,Abyss,0,1,0.0
Evil Geniuses,FURIA,Abyss,1,1,100.0
Evil Geniuses,MIBR,Abyss,0,1,0.0
Evil Geniuses,Sentinels,Abyss,0,1,0.0
Evil Geniuses,LOUD,Abyss,1,1,100.0
FNATIC,Team Heretics,Abyss,0,1,0.0
FNATIC,Rex Regum Qeon,Abyss,1,1,100.0
FNATIC,MIBR,Abyss,1,1,100.0
FNATIC,NRG,Abyss,1,2,50.0
FNATIC,Gentle Mates,Abyss,2,2,100.0
FNATIC,FUT Esports,Abyss,1,2,50.0
FNATIC,Team Vitality,Abyss,1,1,100.0
