Team,Map,Wins,Played,Winrate
100 Thieves,Abyss,2,3,66.67
2Game Esports,Abyss,0,1,0.0
All Gamers,Abyss,3,6,50.0
Apeks,Abyss,0,1,0.0
BBL Esports,Abyss,5,7,71.43
Bilibili Gaming,Abyss,5,8,62.5
Cloud9,Abyss,1,4,25.0
DRX,Abyss,10,10,100.0
DetonatioN FocusMe,Abyss,4,5,80.0
Dragon Ranger Gaming,Abyss,2,7,28.57
EDward Gaming,Abyss,6,9,66.67
ENVY,Abyss,0,3,0.0
Enterprise Esports,Abyss,2,3,66.67
Evil Geniuses,Abyss,3,5,60.0
FNATIC,Abyss,7,13,53.85
FULL SENSE,Abyss,0,1,0.0
FURIA,Abyss,3,6,50.0
FUT Esports,Abyss,1,4,25.0
Fire Flux Esports,Abyss,1,2,50.0
FunPlus Phoenix,Abyss,0,3,0.0
G2 Esports,Abyss,10,15,66.67
GIANTX,Abyss,2,3,66.67
Gen.G,Abyss,2,5,40.0
Gentle Mates,Abyss,3,6,50.0
Global Esports,Abyss,4,8,50.0
JDG Esports,Abyss,3,5,60.0
KOI,Abyss,0,1,0.0
KRÜ Esports,Abyss,3,6,50.0
Karmine Corp,Abyss,2,5,40.0
Kiwoom DRX,Abyss,1,3,33.33
LEVIATÁN,Abyss,3,5,60.0
LOUD,Abyss,2,4,50.0
MIBR,Abyss,5,12,41.67
NRG,Abyss,8,14,57.14
Natus Vincere,Abyss,1,2,50.0
Nongshim RedForce,Abyss,4,6,66.67
Nova Esports,Abyss,2,3,66.67
ONSIDE GAMING,Abyss,0,1,0.0
PCIFIC Esports,Abyss,1,3,33.33
Paper Rex,Abyss,1,4,25.0
Precise Defeat,Abyss,1,1,100.0
Pure Aim,Abyss,0,1,0.0
Rex Regum Qeon,Abyss,2,6,33.33
Sentinels,Abyss,4,7,57.14
T1,Abyss,2,4,50.0
TALON,Abyss,1,1,100.0
TYLOO,Abyss,1,3,33.33
Team Heretics,Abyss,3,13,23.08
Team Liquid,Abyss,9,13,69.23
Team Secret,Abyss,1,2,50.0
Team Vitality,Abyss,4,8,50.0
Titan Esports Club,Abyss,2,4,50.0
Trace Esports,Abyss,2,8,25.0
ULF Esports,Abyss,1,1,100.0
VARREL,Abyss,0,1,0.0
Wolves Esports,Abyss,2,5,40.0
Xi Lai Gaming,Abyss,2,8,25.0
ZETA DIVISION,Abyss,1,2,50.0
100 Thieves,Ascent,6,10,60.0
2Game Esports,Ascent,3,6,50.0
A Team,Ascent,0,1,0.0
Acend,Ascent,4,5,80.0
All Gamers,Ascent,3,7,42.86
Apeks,Ascent,1,5,20.0
BBL Esports,Ascent,9,15,60.0
BESTIA,Ascent,0,1,0.0
BOOM Esports,Ascent,3,7,42.86
Bilibili Gaming,Ascent,6,10,60.0
Cat Gang,Ascent,0,1,0.0
Cloud9,Ascent,2,5,40.0
Crazy Raccoon,Ascent,0,2,0.0
DRX,Ascent,16,19,84.21
DetonatioN FocusMe,Ascent,5,12,41.67
Dominus Esports,Ascent,0,1,0.0
Dragon Ranger Gaming,Ascent,8,12,66.67
EDward Gaming,Ascent,8,16,50.0
ENVY,Ascent,7,10,70.0
Eintracht Frankfurt,Ascent,1,2,50.0
Eternal Fire,Ascent,2,6,33.33
Evil Geniuses,Ascent,7,10,70.0
F4Q,Ascent,0,2,0.0
FNATIC,Ascent,11,26,42.31
FULL SENSE,Ascent,2,3,66.67
FURIA,Ascent,1,11,9.09
FUT Esports,Ascent,6,13,46.15
Fire Flux Esports,Ascent,2,2,100.0
Fluxo W7M,Ascent,0,1,0.0
FunPlus Phoenix,Ascent,9,16,56.25
G2 Esports,Ascent,15,21,71.43
GIANTX,Ascent,8,15,53.33
Gambit Esports,Ascent,2,5,40.0
Gen.G,Ascent,6,12,50.0
Gentle Mates,Ascent,4,10,40.0
Giants Gaming,Ascent,0,1,0.0
Global Esports,Ascent,4,7,57.14
Guild Esports,Ascent,0,2,0.0
JDG Esports,Ascent,3,6,50.0
Joblife,Ascent,1,3,33.33
KOI,Ascent,1,3,33.33
KRÜ Esports,Ascent,8,17,47.06
Kantic 2.0,Ascent,1,1,100.0
Karmine Corp,Ascent,3,5,60.0
KeepBest Gaming,Ascent,0,1,0.0
Kiwoom DRX,Ascent,1,3,33.33
LEVIATÁN,Ascent,10,15,66.67
LOUD,Ascent,12,18,66.67
Lavie,Ascent,1,1,100.0
Liberty,Ascent,0,1,0.0
M80,Ascent,0,1,0.0
MIBR,Ascent,3,10,30.0
MadHood,Ascent,1,1,100.0
Made In Vietnam,Ascent,1,1,100.0
NORTHEPTION,Ascent,0,2,0.0
NRG,Ascent,4,11,36.36
NUTURN,Ascent,3,3,100.0
Natus Vincere,Ascent,5,10,50.0
Ninjas In Pyjamas,Ascent,1,1,100.0
Nongshim RedForce,Ascent,6,14,42.86
Nova Esports,Ascent,3,7,42.86
ONSIDE GAMING,Ascent,1,3,33.33
OpTic Gaming,Ascent,3,11,27.27
