Tournament,Stage,Match Type,Map,Team A,Team B,Team A Score,Team B Score
VCT 2026: Pacific Stage 2,Group Stage,Week 1,Ascent,Gen.G,ZETA DIVISION,13,7
VCT 2026: Pacific Stage 2,Group Stage,Week 1,Sunset,Gen.G,ZETA DIVISION,16,14
VCT 2026: Pacific Stage 2,Group Stage,Week 1,Split,Team Secret,VARREL,6,13
VCT 2026: Pacific Stage 2,Group Stage,Week 1,Haven,Team Secret,VARREL,13,9
VCT 2026: Pacific Stage 2,Group Stage,Week 1,Haven,FULL SENSE,Nongshim RedForce,3,13
VCT 2026: Pacific Stage 2,Group Stage,Week 1,Split,FULL SENSE,Nongshim RedForce,13,11
VCT 2026: Pacific Stage 2,Group Stage,Week 1,Ascent,FULL SENSE,Nongshim RedForce,13,8
VCT 2026: Pacific Stage 2,Group Stage,Week 1,Split,Kiwoom DRX,DetonatioN FocusMe,11,13
VCT 2026: Pacific Stage 2,Group Stage,Week 1,Sunset,Kiwoom DRX,DetonatioN FocusMe,13,6
VCT 2026: Pacific Stage 2,Group Stage,Week 1,Sunset,Rex Regum Qeon,Global Esports,9,13
VCT 2026: Pacific Stage 2,Group Stage,Week 1,Sunset,Paper Rex,T1,12,14
VCT 2026: Pacific Stage 2,Group Stage,Week 1,Ascent,Paper Rex,T1,13,11
VCT 2026: Pacific Stage 2,Group Stage,Week 1,Breeze,Paper Rex,T1,15,17
VCT 2026: Pacific Stage 2,Group Stage,Week 1,Split,Nongshim RedForce,Gen.G,11,13
VCT 2026: Pacific Stage 2,Group Stage,Week 1,Ascent,Nongshim RedForce,Gen.G,13,7
VCT 2026: Pacific Stage 2,Group Stage,Week 1,Haven,Nongshim RedForce,Gen.G,4,13
VCT 2026: Pacific Stage 2,Group Stage,Week 1,Sunset,Kiwoom DRX,Team Secret,4,13
VCT 2026: Pacific Stage 2,Group Stage,Week 1,Haven,Kiwoom DRX,Team Secret,7,13
VCT 2026: China Stage 2,Group Stage,Week 1,Sunset,Wolves Esports,Titan Esports Club,13,5
VCT 2026: China Stage 2,Group Stage,Week 1,Haven,Wolves Esports,Titan Esports Club,13,10
VCT 2026: China Stage 2,Group Stage,Week 1,Haven,Dragon Ranger Gaming,Bilibili Gaming,15,13
VCT 2026: China Stage 2,Group Stage,Week 1,Lotus,Dragon Ranger Gaming,Bilibili Gaming,13,7
VCT 2026: China Stage 2,Group Stage,Week 1,Sunset,FunPlus Phoenix,Trace Esports,13,3
VCT 2026: China Stage 2,Group Stage,Week 1,Split,JDG Esports,TYLOO,8,13
VCT 2026: China Stage 2,Group Stage,Week 1,Sunset,JDG Esports,TYLOO,7,13
VCT 2026: China Stage 2,Group Stage,Week 1,Breeze,Dragon Ranger Gaming,Titan Esports Club,16,14
VCT 2026: China Stage 2,Group Stage,Week 1,Haven,Dragon Ranger Gaming,Titan Esports Club,11,13
VCT 2026: China Stage 2,Group Stage,Week 1,Sunset,Dragon Ranger Gaming,Titan Esports Club,13,4
VCT 2026: China Stage 2,Group Stage,Week 1,Split,Bilibili Gaming,Wolves Esports,4,13
VCT 2026: China Stage 2,Group Stage,Week 1,Lotus,Bilibili Gaming,Wolves Esports,13,5
VCT 2026: China Stage 2,Group Stage,Week 1,Sunset,Nova Esports,FunPlus Phoenix,13,7
VCT 2026: China Stage 2,Group Stage,Week 1,Lotus,Nova Esports,FunPlus Phoenix,13,8
VCT 2026: China Stage 2,Group Stage,Week 1,Breeze,TYLOO,Trace Esports,13,3
VCT 2026: China Stage 2,Group Stage,Week 1,Sunset,TYLOO,Trace Esports,13,5
VCT 2026: China Stage 2,Group Stage,Week 2,Lotus,Wolves Esports,All Gamers,11,13
VCT 2026: China Stage 2,Group Stage,Week 2,Ascent,Wolves Esports,All Gamers,4,13
VCT 2026: China Stage 2,Group Stage,Week 2,Ascent,Xi Lai Gaming,Titan Esports Club,13,7
VCT 2026: China Stage 2,Group Stage,Week 2,Breeze,Xi Lai Gaming,Titan Esports Club,10,13
VCT 2026: China Stage 2,Group Stage,Week 2,Breeze,JDG Esports,FunPlus Phoenix,8,13
VCT 2026: China Stage 2,Group Stage,Week 2,Ascent,JDG Esports,FunPlus Phoenix,9,13
VCT 2026: China Stage 2,Group Stage,Week 2,Sunset,EDward Gaming,TYLOO,8,13
VCT 2026: China Stage 2,Group Stage,Week 2,Breeze,EDward Gaming,TYLOO,13,7
VCT 2026: China Stage 2,Group Stage,Week 2,Lotus,EDward Gaming,TYLOO,3,13
VCT 2026: China Stage 2,Group Stage,Week 2,Haven,All Gamers,Bilibili Gaming,13,10
VCT 2026: China Stage 2,Group Stage,Week 2,Sunset,All Gamers,Bilibili Gaming,9,13
VCT 2026: China Stage 2,Group Stage,Week 2,Lotus,Xi Lai Gaming,Dragon Ranger Gaming,13,7
VCT 2026: China Stage 2,Group Stage,Week 2,Haven,Xi Lai Gaming,Dragon Ranger Gaming,13,9
VCT 2026: China Stage 2,Group Stage,Week 2,Split,Nova Esports,JDG Esports,13,4
VCT 2026: China Stage 2,Group Stage,Week 2,Lotus,Nova Esports,JDG Esports,8,13
VCT 2026: China Stage 2,Group Stage,Week 2,Breeze,Nova Esports,JDG Esports,13,9
VCT 2026: China Stage 2,Group Stage,Week 2,Ascent,TYLOO,FunPlus Phoenix,7,13
VCT 2026: China Stage 2,Group Stage,Week 2,Lotus,TYLOO,FunPlus Phoenix,13,11
VCT 2026: China Stage 2,Group Stage,Week 2,Split,TYLOO,FunPlus Phoenix,13,10
